Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Labels,Labels,Original Estimate,Component,Due Date
Story,[D7.3] DNS: Unbound resolver/forwarder/DNSSEC/views + VPP caching DNS plugin,"DNS: Unbound resolver/forwarder/DNSSEC/views + VPP caching DNS plugin

Depends on: D1.3

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T1,D7,S4,400h,Control Plane,2027-12-31
Story,"[D7.4] NTP via chrony (client/server), optional PTP","NTP via chrony (client/server), optional PTP

Depends on: D0.9

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T1,D7,S4,200h,Control Plane,2027-12-31
Story,[D7.5] SNMP v2c/v3 via net-snmp + private MIB,"SNMP v2c/v3 via net-snmp + private MIB

Depends on: D0.12

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T2,D7,S4,360h,Control Plane,2028-03-31
Story,[D7.6] IPFIX/NetFlow (flowprobe) + sFlow,"IPFIX/NetFlow (flowprobe) + sFlow

Depends on: D0.12

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Dataplane & Agent.",,"D7 Services, QoS & Host Stack",T2,D7,S1,400h,Dataplane & Agent,2028-09-30
Story,[D7.7] Syslog export + log explorer,"Syslog export + log explorer

Depends on: D0.12

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T1,D7,S4,280h,Control Plane,2028-12-31
Story,"[D7.8] QoS: policer, shaper, QoS record/map/mark, DSCP/dot1p, hierarchical HQoS, per-interface queues","QoS: policer, shaper, QoS record/map/mark, DSCP/dot1p, hierarchical HQoS, per-interface queues

Depends on: D1.2

Estimate: 85 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q8. Owning squad: Dataplane & Agent.",,"D7 Services, QoS & Host Stack",T2,D7,S1,680h,Dataplane & Agent,2028-09-30
Story,[D7.9] Load Balancer plugin (GRE/NAT/L3DSR/maglev),"Load Balancer plugin (GRE/NAT/L3DSR/maglev)

Depends on: D4.1

Note: Solved outside the product by HAProxy/nginx

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Dataplane & Agent.",,"D7 Services, QoS & Host Stack",T3,D7,S1,320h,Dataplane & Agent,2029-03-31
Story,"[D7.10] Host Stack: session layer, TCP/UDP tuning, VCL, TLS engines, QUIC/quicly, HTTP static server, HTTP/3 CONNECT + UDP proxying, SRTP, HSI","Host Stack: session layer, TCP/UDP tuning, VCL, TLS engines, QUIC/quicly, HTTP static server, HTTP/3 CONNECT + UDP proxying, SRTP, HSI

Depends on: D0.7

Note: No router customer asks for this

Estimate: 130 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q11. Owning squad: Dataplane & Agent.",,"D7 Services, QoS & Host Stack",T3,D7,S1,1040h,Dataplane & Agent,2029-06-30
Story,[D7.11] Packet generator (PG) + pcap tooling in UI,"Packet generator (PG) + pcap tooling in UI

Depends on: D8.2

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Dataplane & Agent.",,"D7 Services, QoS & Host Stack",T2,D7,S1,200h,Dataplane & Agent,2028-06-30
Story,"[D8.1] Dashboard, charts, per-worker CPU, queue/buffer stats, buffers monitoring, buffer metadata tracker","Dashboard, charts, per-worker CPU, queue/buffer stats, buffers monitoring, buffer metadata tracker

Depends on: D0.12

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q6. Owning squad: Frontend.",,D8 Observability & Ops,T1,D8,S5,480h,Frontend,2028-03-31
Story,"[D8.2] Packet capture: pcap rx/tx/drop, BPF Trace Filter, trace node, Trace Path plugin (new 26.06), G2 export","Packet capture: pcap rx/tx/drop, BPF Trace Filter, trace node, Trace Path plugin (new 26.06), G2 export

Depends on: D0.7

Estimate: 55 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q8. Owning squad: Dataplane & Agent.",,D8 Observability & Ops,T1,D8,S1,440h,Dataplane & Agent,2028-09-30
Story,[D8.3] Prometheus exporter (VPP prom plugin + own metrics) + Grafana dashboards,"Prometheus exporter (VPP prom plugin + own metrics) + Grafana dashboards

Depends on: D0.12

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Control Plane.",,D8 Observability & Ops,T1,D8,S4,280h,Control Plane,2028-03-31
Story,"[D8.4] Event and alarm engine, thresholds, email/webhook/SNMP traps","Event and alarm engine, thresholds, email/webhook/SNMP traps

Depends on: D0.12

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Control Plane.",,D8 Observability & Ops,T1,D8,S4,360h,Control Plane,2027-12-31
Story,"[D8.5] Backup/restore, scheduled export, config templates, bulk provisioning","Backup/restore, scheduled export, config templates, bulk provisioning

Depends on: D0.8

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Control Plane.",,D8 Observability & Ops,T1,D8,S4,320h,Control Plane,2027-12-31
Story,[D8.6] Support bundle / sysdump,"Support bundle / sysdump

Depends on: D0.12

Estimate: 20 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Platform & Release.",,D8 Observability & Ops,T1,D8,S6,160h,Platform & Release,2028-12-31
Story,[D8.7] Upgrade UI and staged rollout,"Upgrade UI and staged rollout

Depends on: D0.5

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Frontend.",,D8 Observability & Ops,T1,D8,S5,200h,Frontend,2028-03-31
Story,[D8.8] RESTCONF/NETCONF compatibility layer + YANG models,"RESTCONF/NETCONF compatibility layer + YANG models

Depends on: D0.8

Note: Needed for TNSR API parity

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q8. Owning squad: Control Plane.",,D8 Observability & Ops,T2,D8,S4,720h,Control Plane,2028-09-30
Story,"[D8.9] Terraform provider, Ansible collection, Python SDK","Terraform provider, Ansible collection, Python SDK

Depends on: D0.8

Estimate: 55 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Control Plane.",,D8 Observability & Ops,T2,D8,S4,440h,Control Plane,2029-03-31
Story,[D9.1] VRRPv3 (native VPP plugin) + keepalived path,"VRRPv3 (native VPP plugin) + keepalived path

Depends on: D1.3

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Dataplane & Agent.",,D9 High Availability,T1,D9,S1,360h,Dataplane & Agent,2028-03-31
Story,"[D9.2] Config synchronisation between peers, cluster membership","Config synchronisation between peers, cluster membership

Depends on: D0.8

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q7. Owning squad: Control Plane.",,D9 High Availability,T1,D9,S4,400h,Control Plane,2028-06-30
Story,[D9.3] State sync: NAT/ACL sessions and IPsec SAs,"State sync: NAT/ACL sessions and IPsec SAs

Depends on: D9.2

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Security & VPN.",,D9 High Availability,T2,D9,S3,480h,Security & VPN,2028-09-30
Story,[D9.4] Failover test automation and convergence tuning,"Failover test automation and convergence tuning

Depends on: D9.3

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: QA / Lab.",,D9 High Availability,T1,D9,QA,240h,QA / Lab,2028-09-30
Story,[D9.5] Cluster view in UI,"Cluster view in UI

Depends on: D9.2

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Frontend.",,D9 High Availability,T2,D9,S5,200h,Frontend,2028-09-30
Story,"[D10.1] VDOM/tenant model, per-tenant RBAC and API scoping","VDOM/tenant model, per-tenant RBAC and API scoping

Depends on: D0.9

Note: Changes the data model - decide in Q1 whether it is in scope

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q11. Owning squad: Control Plane.",,D10 Multi-tenancy & AAA,T2,D10,S4,560h,Control Plane,2029-06-30
Story,"[D10.2] AAA: RADIUS, TACACS+, LDAP, SAML, OIDC + MFA","AAA: RADIUS, TACACS+, LDAP, SAML, OIDC + MFA

Depends on: D0.9

Estimate: 55 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Control Plane.",,D10 Multi-tenancy & AAA,T2,D10,S4,440h,Control Plane,2028-12-31
Story,"[D11.1] Cloud images AWS/Azure/GCP + marketplace, cloud-init, ENA/Hyper-V drivers, cloud routing integration","Cloud images AWS/Azure/GCP + marketplace, cloud-init, ENA/Hyper-V drivers, cloud routing integration

Depends on: D0.3

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q11. Owning squad: Platform & Release.",,D11 Cloud & Virtualization,T2,D11,S6,720h,Platform & Release,2029-06-30
Story,[D11.2] KVM/VMware/Hyper-V/Proxmox images + SR-IOV and PCI passthrough,"KVM/VMware/Hyper-V/Proxmox images + SR-IOV and PCI passthrough

Depends on: D0.3

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Platform & Release.",,D11 Cloud & Virtualization,T1,D11,S6,320h,Platform & Release,2028-12-31
Story,"[D12.1] CIS hardening, secure boot, package signing, offline (air-gapped) update bundle","CIS hardening, secure boot, package signing, offline (air-gapped) update bundle

Depends on: D0.4

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q11-Q11. Owning squad: Platform & Release.",,"D12 Hardening, QA, Docs & Release",T1,D12,S6,480h,Platform & Release,2029-06-30
Story,[D12.2] Licensing and entitlement enforcement,"Licensing and entitlement enforcement

Depends on: D0.9

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q11-Q11. Owning squad: Control Plane.",,"D12 Hardening, QA, Docs & Release",T1,D12,S4,320h,Control Plane,2029-06-30
Story,[D12.3] Independent penetration test + remediation,"Independent penetration test + remediation

Depends on: D12.1

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q12-Q12. Owning squad: QA / Lab.",,"D12 Hardening, QA, Docs & Release",T1,D12,QA,360h,QA / Lab,2029-09-30
Story,[D12.4] Full user documentation (~400 pages) + CLI reference + API reference,"Full user documentation (~400 pages) + CLI reference + API reference

Note: Technical writer from M12

Estimate: 120 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q12. Owning squad: Technical writer.",,"D12 Hardening, QA, Docs & Release",T1,D12,Writer,960h,Technical writer,2029-09-30
Story,"[D12.5] QA: regression suite growth, nightly topology, perf CI, interop matrix (Cisco/Juniper/FortiGate/strongSwan/AWS VGW)","QA: regression suite growth, nightly topology, perf CI, interop matrix (Cisco/Juniper/FortiGate/strongSwan/AWS VGW)

Depends on: D0.13

Note: Continuous from Q4 to GA

Estimate: 160 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q12. Owning squad: QA / Lab.",,"D12 Hardening, QA, Docs & Release",T1,D12,QA,1280h,QA / Lab,2029-09-30
Story,"[D12.6] Soak and chaos: kill -9, link flap, 72h at line rate","Soak and chaos: kill -9, link flap, 72h at line rate

Depends on: D12.5

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q11-Q12. Owning squad: QA / Lab.",,"D12 Hardening, QA, Docs & Release",T1,D12,QA,400h,QA / Lab,2029-09-30
Story,[D12.7] Certification preparation (Common Criteria / local standards),"Certification preparation (Common Criteria / local standards)

Depends on: D12.1

Note: Get the requirement list before end of Q2

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q11-Q12. Owning squad: Platform & Release.",,"D12 Hardening, QA, Docs & Release",T2,D12,S6,480h,Platform & Release,2029-09-30
